summary,description,timespent
contrib graphic remove body attribute example json,know core model attribute actually used component little misleading list example json,1800.0
unused color variable,remove color le file use theme,1800.0
grunt task runner dev task copy json change build,watch task run grunt dev watch change config json copy config json build file changed saved replicate run grunt dev make change save file observe command line say file src course config json changed copy coursejson task run go observe config json updated,1800.0
narrative component,heading component item stacked top see button work button doesnt also occurs behaviour nexus android,1800.0
play ended completion event dont work source vimeo,look like mediaelement doesnt broadcast event source vimeo might well youtube need testing assume could probably hack way around play event firing user click video completion event unlikely easy though,1800.0
slider,doesnt support drop shadow slider icon effectively invisible see attached,1800.0
question accessible,mcq requires user choose image image option need description image option alt text question answerable visually impaired,1800.0
query unnecessary element resource tabbing cycle,end list link every drawer tabbing select drawer whole side necessary could confuse user thinking theyve reached end drawer content,1800.0
review readme,review accuracy quality feedback go chuck reassign chuck chuck push adapt github wiki,1800.0
review contrib pagelevelprogress readme,review accuracy quality feedback go chuck reassign chuck chuck push adapt github wiki,2700.0
review contrib trickle readme,review accuracy quality feedback go chuck reassign chuck chuck push adapt github wiki,2100.0
review readme,review accuracy quality feedback go chuck reassign chuck chuck push adapt github wiki,3000.0
review contrib matching readme,review accuracy quality feedback go chuck reassign chuck chuck push adapt github wiki,1800.0
review readme,review accuracy quality feedback go chuck reassign chuck chuck push adapt github wiki,2700.0
review readme,review accuracy quality feedback go chuck reassign chuck chuck push adapt github wiki,2400.0
review contrib bookmarking readme,review accuracy quality feedback go chuck reassign chuck chuck push adapt github wiki,1800.0
initial instruction,instruction say swiper left go forward swipe right go back work way round practise,1800.0
derived component able render template file,might occurred merging following pr,1800.0
query desktop browser forward back arrow always present,forward back arrow narrative component always present even beginning end slide first slide arrow present take user last also dts loop infinitely,1800.0
text input validation icon color,wrong validation icon color used variable used,1800.0
invalid variable,change variable,1800.0
main menu view button state given,returning main menu topic page user taken top main menu page must tab back topic button last visited however difficult find alt text doesnt indicate whether topic view button visited,2400.0
text input spanned,user answer incorrectly incorrect fedback state excerpt sorry thats right adapt open source project established city guild kineo learning pool sponge time writing total seven official collaborator also click correct answer display time city guild kineo instead mentioned feedback city guild kineo learning pool sponge,1800.0
graphical issue,viewed blue outline around accordion element bit broken corner see screenshot,1800.0
ipad half width question component text overrun,correct feedback button text overrun see attached,1800.0
strickle centre android window mobile,strickle centre see attached,1800.0
text overrun question component window mobile,show feedback correct answer button text overrun see attached,1800.0
menu window phone text overrun,title overrun see attached,1800.0
page loading window mobile,page load user initially scroll course scroll top page,1800.0
transcript button need padding,medium component transcript button need padding left currently touch edge box,1800.0
matching component,answer submitted text change grey grey background see attached,1800.0
mcqs gmcqs show answer tick cross,tick cross next option question component looking background colour make sense,1800.0
plp navigation,order navigate using plp drawer user must open plp select item plp drawer close nothing happens open plp select item item selected time course navigates component user selected two different component course navigate component selected first attempt,1800.0
strickle bar,bar full width flush bottom screen see attached,1800.0
global progress bar fill slightly,page completed overall page progress bar top page completely filled fill slightly showing white either end bar,1800.0
graphic component plp entry,component entry plp drawer,1800.0
check restriction display,get white bar either side page resizing beyond owen requested stretch fill smaller size,1800.0
review disabled button state,fed add disabled variable,1800.0
review branch core github repos,code freeze go core repos checking branch aim delete stale branch,1500.0
plp extension screenreader equivalent component title,present screenreader equivalent acknowledgement component listed progress locked behind trickle sighted user see component page unavailable however blind screenreader user indication led believe kitchen sink demo two component page,1800.0
unknown unidentified completion status element,kitchen sink page component unidentified completion status element tabbed read unidentified completed jaw sure obviously blank component check code though page inspector enabled,1800.0
hotgraphic dt heading identified heading,jaw read heading within hotgraphic display text identify heading see kitchen sink hg instance,1800.0
result display triggered keyboard navigation,completing assessment keyboard navigation selecting button proceed result blank area page displayed size result total result component visible component display backed page related,1800.0
global keyboard navigation tab cursor obvious,accessibility turned keyboard tab cursor highlight appear thin perforated line style cursor rather much visually obvious thick yellow line cursor often used accessible adapt,1800.0
wrong marking used revisiting page,revisiting page found marking individual text input field incorrect although overall question marked correct see attached nb may originally completing page component failed first attempt passed second attempt verify subsequent platform,2400.0
text input page android pho,text input component user close keyboard landscape visible area address bar keyboard narrow see attached image,1800.0
key fact page android pho global,narrative hotgraphic component dt closed dashed border surrounding hotspot see attached image section selection required open dt see attached image see also,1800.0
page,way video pc ipad android io iphone opening video full screen designed,1800.0
trickle extension adapt come plugins iphone landscape,using thumb trickle hotspot area difficult select,1800.0
order page component type,user navigates away page return selectable despite question answer state see attached image,1800.0
total result page,im sure adequately test component unless set pull result multiple article consider adding second assessment article track question answer article already course testing perspective option would make life much easier,1800.0
adapt come plugins completion tracking,progress page doesnt seem saved across session component visited assessment passed course mark complete moodle scorm console second session started assessment level completion remembered scorm console show course incomplete however moodle continues show course complete even second session closed,1800.0
tutor mobile scroll page,using current develop base using component triggered tutor cause page scroll away component mean user physically scroll back component could tutor element added dom runtime issue occurs iphone ipad android device,1800.0
empty component text never visible set completed,could linked,1800.0
contrib matching disabled state default styling overridden,issue select text turn light grey disabled research look like possible change grey causing issue text hard read depending background colour select way around atm styled white background colour browser affected,1800.0
pr issue change onquizfailure onassessmentfailure per,resubmit develop branch,1800.0
pr issue compatibilty mode fix,resubmit develop branch,1800.0
update community page,community page need updating recent item,1800.0
reveal component bug fix,allow html character body item incorrect readme link,1800.0
copy portlet fails,attempting clone copy existing portlet portletdefinition result following stack trace error rendering portletwindowmanagerimpl setportletactionrequestparametersiportletwindowid map httpservletrequest httpservletresponse exception raised trying process portlet action problem occurred rendering portlet window caused java lang illegalstateexception specified action copyportlet exist page caused java lang nosuchmethodexception,1800.0
build process need recognize separate directory,start tomcat see environment variable get set point directory time however point different directory point base tomcat install would bin common server directory minimum point separate set directory would include shared temp work webapps directory allows multiple instance tomcat hence multiple host running different application machine see additional information current deployment process aware convention time doesnt however tomcat instance workstation server set separate directory right directory set build property deployment process usually sever home set point time thats ok portal initialized jar belong common directory get copied really belong propose server base property introduced box point would give need ability set different value affected property build proerties would affected target build xml would deploy dist,1800.0
activation jar dependency license compliance,spun address uportals inclusion activation jar term licensing compliance verify uportal entitled ship jar include appropriate attribution acknowledgment license release,1800.0
portlet definition appear manager,displaying list portlet definition portlets shared common deployment attribute displayed correctly one portlet name would appear problem tracked comparator used sort set definition viewing comparator modified use displayname property current locale fall back comparing portlet definition id display name equal,1800.0
dormitem website announcement,dormitem offering free uportal classified branded school dormitem college classified search engine offering uportal administrator free integration microregional classified system classified great tool attract student portal see important news event otherwise may missed dormitem build custom feed place portlet show listing school neighboring campus well portlet click custom branded version dormitem match school color dormitem offer student free listing safer trading rapleaf integration facebook integration info view document attached contact info dan scudder website,3000.0
review tincan api documentation,read make sure required implementation issue created,2700.0
create background sending api tincanapi event,create shim class sits tincan api event handler rest client api concurrent queue get tincan api object added scheduled method called flush queue via tincan rest api client,2700.0
toggle version info portal footer,version info portal footer nice detailed visually overwhelming would nice hide default provide dhtml control togging visible,1800.0
mygps view map visible,scenario use internet explorer log ssp student active map plan mygps home screen view option issue view map option visible console error shown attached screenshot,1800.0
process pull request sso code,greg opened two pull request merging sso code ssp platform got clear school contribute code need merge pull request,1800.0
